Generator-Diesel-cluster1-mod,Generator-Solar PV-cluster1-mod,Store_Li-ion-mod,Generator-Solar PV-cluster1,Load,Ramp
0,0,0,0.0,0.0,-4.0
1,10,20,5.0,2.0,0.0
2,5,10,2.5,3.0,2.0
0,15,30,7.5,1.0,-2.0
1,7,25,8.75,1.5,-3.0
2,18,5,3.75,3.5,1.0
1,2,35,6.25,2.5,3.0
0,13,15,1.25,0.5,-1.0
0,6,38,4.375,2.25,-1.5
2,17,17,9.375,0.25,2.5
