f_FCR_UP,f_aFRR_UP,f_mFRR_UP,f_RR_UP,f_FCR_DW,f_aFRR_DW,f_mFRR_DW,f_RR_DW,quartile_trip,EA_trip
0.6034437325829067,0.2585840511496598,0.1096554321126555,0.0724380439333151,-0.4421767268029736,-0.2585242446285387,-0.10962779185014587,-0.07252026055164779,0.5,64.0703125
1.0375669744511626,0.6226932128257777,0.22702779597774903,0.13648597498236126,-1.001129791877439,-0.6228477660498654,-0.2268952141156837,-0.13627309723203007,0.5,38.944010416666664
0.7744803982089632,0.43587981676144344,0.1809190189455327,0.11195056794782232,-0.7518165830167753,-0.43593724634272857,-0.1807994106991504,-0.11191769865214884,0.5,18.432291666666668
0.8529130194435275,0.49003164641258495,0.14122273215292797,0.08505592936829742,-0.7116913051266329,-0.49001673608294755,-0.14105524633255345,-0.08495029484188032,0.5,88.73307291666667
0.7689024567600559,0.4326452896249277,0.17710750802071223,0.11040725692795272,-0.7357691310570121,-0.43273246656450215,-0.17723398066732077,-0.11061309273272601,0.5,30.0625
0.8279581700605051,0.4695092555850567,0.17562951936442178,0.1054435778668229,-0.7620905849642893,-0.46945257449080735,-0.17582642396916182,-0.10549193425676417,0.5,54.48828125
0.9565802621885426,0.5945925458397432,0.19882421397275152,0.115991724247263,-0.9232692441380992,-0.5945646799096505,-0.19886036210002256,-0.11604959238582968,0.5,35.41015625
0.7253939630597875,0.327163749749481,0.13802890991773603,0.08880314269049627,-0.5593972769999265,-0.3271560017617654,-0.13811912959789563,-0.0888397768140955,0.5,89.63541666666667
0.9410697671997373,0.5317523284043978,0.21355830438304835,0.13391294005515542,-0.8920120498837965,-0.5317615695220381,-0.21338572585630322,-0.13350663475536684,0.5,44.78125
0.6997277602222104,0.3448706326407193,0.13312653641506705,0.08323812993346413,-0.5627979877515578,-0.3449005762160309,-0.13292538744593957,-0.08306869080112206,0.5,70.54036458333333
