f_FCR,f_aFRR,f_mFRR,f_RR,quartile_trip,EA_trip
0.5,0.4999999999999999,0.0,0.0,0.0,0.0
0.7055987834772488,0.3638715772222952,0.1523214896616795,0.0966625632662823,0.5,52.33072916666666
0.7605563075029709,0.4257679920393409,0.1673434330732811,0.1048760765962859,0.5,47.99869791666666
0.834756778874944,0.4604491684635649,0.1830054526608487,0.1115284578420484,0.5,56.99609375
0.9779823492614572,0.5690335132724816,0.2140401148119824,0.1300542550586676,0.5,54.013020833333336
0.7746782576092566,0.4079908989375214,0.1705768816869713,0.1095373776955135,0.5,60.606770833333336
0.9572761586173296,0.5553779071720564,0.2070040438710763,0.1251239059200998,0.5,58.78515625
0.5503229870430917,0.2225207242052853,0.0889797062853444,0.0564220527423994,0.5,36.19140625
0.7619527926433061,0.406241433703586,0.1651739215647171,0.1016744456861017,0.5,53.67447916666666
0.9192266211806916,0.509503059544681,0.1980136775201714,0.1231950383084694,0.5,73.44661458333333
0.6034437325829067,0.2585840511496598,0.1096554321126555,0.0724380439333151,0.5,64.0703125
1.0375669744511626,0.6226932128257777,0.22702779597774903,0.13648597498236126,0.5,38.944010416666664
0.7744803982089632,0.43587981676144344,0.1809190189455327,0.11195056794782232,0.5,18.432291666666668
0.8529130194435275,0.49003164641258495,0.14122273215292797,0.08505592936829742,0.5,88.73307291666667
0.7689024567600559,0.4326452896249277,0.17710750802071223,0.11040725692795272,0.5,30.0625
0.8279581700605051,0.4695092555850567,0.17562951936442178,0.1054435778668229,0.5,54.48828125
0.9565802621885426,0.5945925458397432,0.19882421397275152,0.115991724247263,0.5,35.41015625
0.7253939630597875,0.327163749749481,0.13802890991773603,0.08880314269049627,0.5,89.63541666666667
0.9410697671997373,0.5317523284043978,0.21355830438304835,0.13391294005515542,0.5,44.78125
0.6997277602222104,0.3448706326407193,0.13312653641506705,0.08323812993346413,0.5,70.54036458333333
